company,first_name,last_name,phone,email,city,state,green_flags,dm_target,notes,source_url
Revive Drip Medspa,,,7202487355,Info@revivedripmedspa.com,Denver,CO,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner / clinic manager,Denver injectable and IV med spa; use service expansion and consult add-on angle,https://www.revivedripmedspa.com/contact
Revitalized Health,,,7203612302,,Englewood,CO,GLP1|MEDICAL_OVERSIGHT,Owner / clinical lead,Mobile and clinic restorative health model; ask whether body contouring referrals are staying in-house,https://revitalized-health.com/contact/
Sunflower Spa,,,3034851390,,Longmont,CO,GLP1|MEDICAL_OVERSIGHT,Medical director / spa manager,Longmont medi-spa offering semaglutide; ask about post-weight-loss body concerns among existing spa clients,https://www.everyoneblooms.com/medi-spa/semaglutide/
Institute for Ageless Living,,,7203405522,wellness@if-al.com,Longmont,CO,EMSCULPT|BODY|MEDICAL_OVERSIGHT,Clinic director,Emsculpt Neo in regenerative medicine setting; opener is body-contouring stack plus functional wellness framing,https://instituteforagelessliving.com/services/emsculpt-neo/
Dermatology of the Rockies,,,3035322810,info@dermatologyoftherockies.com,Longmont,CO,EMSCULPT|BODY|MEDICAL_OVERSIGHT,Practice manager / dermatologist,Emsculpt Neo instructions are public for the Longmont campus; ask if they want a broader skin-texture body platform,https://dermatologyoftherockies.com/wp-content/uploads/2025/02/EmSculpt-Pre-and-Post-04-20-22.pdf
Vitality Women's Healthcare,Melissa,Nevarez,5059981590,,Albuquerque,NM,MEDICAL_OVERSIGHT|SKIN_TIGHTENING,Owner / clinician,Women's health-led practice with aesthetics crossover; call on trust and education for wellness patients,https://vitalitywomenshealthcare.com/
The Skin RN,Francine,Ortiz,8774174551,,Albuquerque,NM,MEDICAL_OVERSIGHT,Owner / injector trainer,Injector training brand; credibility and provider education are the strongest hooks,https://www.theskinrnabq.com/
Clear Sky Medical Weight Loss,,,5057967959,,Albuquerque,NM,GLP1|MEDICAL_OVERSIGHT,Medical director / clinic manager,Telehealth-forward weight-loss clinic; ask about post-weight-loss body referral gaps,https://clearskymedicalweightloss.com/
FIT Medical Weight Loss,,,5055579126,,Santa Fe,NM,GLP1|MULTI_LOCATION,Clinic lead,Santa Fe FIT location; wellness-market angle plus GLP-1 follow-up education,https://www.fitmedicalweightloss.com/Locations/Santa-Fe-New-Mexico
FIT Medical Weight Loss,,,5058889575,,Las Cruces,NM,GLP1|MULTI_LOCATION,Clinic lead,Southern New Mexico FIT location; ask if body-confidence questions stay local or route to corporate,https://www.fitmedicalweightloss.com/Locations/Las-Cruces-New-Mexico
Covenant Clinic,,,5755560200,,Las Cruces,NM,GLP1|MEDICAL_OVERSIGHT,Clinic manager,Walk-in clinic lists GLP-1s and expanded hours; throughput and triage scripting are useful angles,https://www.covenant.clinic/services/weight-loss
LivingWell Weight Loss Clinic,,,5752595014,,Las Cruces,NM,GLP1,Owner / clinic lead,Semaglutide-focused affordability positioning; ask about education that reduces repeat inbound questions,https://livingwellweightloss.com/
Royal Medical Health,,,5059162457,,Albuquerque,NM,GLP1|BODY|MEDICAL_OVERSIGHT,Medical director / clinic manager,Full-service Albuquerque med spa with body contouring and medical weight loss; high-fit discovery call,https://royalmedicalhealth.com/
Dynasty Day & Med Spa,,,5058954090,dynastydaymedspa@gmail.com,Albuquerque,NM,GLP1|EMSCULPT|BODY|MEDICAL_OVERSIGHT,Owner / operations lead,Doctor-led med spa with Emsculpt Neo and medical weight loss; lead with stack-comparison question,https://www.dynastydaymedspa.com/
Optimum Human,,,5052260170,info@optimumabq.com,Albuquerque,NM,GLP1|EMSCULPT|BODY|MEDICAL_OVERSIGHT,Owner / clinic director,Luxury health center with body sculpting and weight loss; ask about executive wellness and body-confidence packages,https://optimumhuman.com/
Zia Infused Wellness,,,5058908955,ziainfusedwellness@gmail.com,Albuquerque,NM,GLP1|MORPHEUS8|BODY|MEDICAL_OVERSIGHT,NP / clinic lead,EvolveX plus Morpheus8 plus medical weight loss; high-priority multi-modality body prospect,https://ziainfusedwellness.setmore.com/
Contour Spa Albuquerque,,,5057501674,,Albuquerque,NM,CELLULITE|BODY|SKIN_TIGHTENING|MULTI_LOCATION,Studio lead,Cellulite and loose-skin copy is explicit; ask whether they are evaluating medical-grade alternatives,https://albuquerque.contourspa.com/
Silhouette Med Spa,,,5052575367,nica@silhouette-medspa.com,Albuquerque,NM,MORPHEUS8|SKIN_TIGHTENING,Owner / provider,Morpheus8 page lists RF microneedling and booking contacts; ask about non-needle body options,https://www.silhouette-medspa.com/service-page/morpheus-8
FitShop Med Spa,,,5058723348,nutrishop.fitshop@yahoo.com,Albuquerque,NM,COOLSCULPTING|EMSCULPT|BODY,Owner / clinic manager,Lists Emsculpt Neo plus CoolSculpting plus Vanquish; strong body-device comparison call,https://www.fitshopnm.com/
Flawless Med Spa & Wellness,,,5058881185,info@stayflawless.com,Albuquerque,NM,GLP1|BODY|REVIEWS,Owner / clinic manager,Semaglutide directory listing with strong reviews and body contouring; use qualified lead opener,https://semaglutidenearme.org/places/flawless-med-spa-wellness/
Blush Medical Spa,Desiree,Garcia,5054208344,,Albuquerque,NM,BODY|MEDICAL_OVERSIGHT,BSN RN / owner,Public Evolus profile names RN specialist and body contouring; ask who evaluates new body services,https://www.evolus.com/practices/blush-medical-spa/
Diversions Med Spa,,,5058211960,brooklyn@diversionsmedspa.com,Albuquerque,NM,BODY|SKIN_TIGHTENING,Practice manager,Contact page lists body contouring and RF microneedling; open on adding non-invasive body texture treatment,https://diversionsmedspa.com/contact/
Mariposa Health and Beauty Spa,Mary,Ellen,5056999466,mariposahealthspa@gmail.com,Santa Fe,NM,GLP1|MEDICAL_OVERSIGHT,Owner / program lead,Peptide weight-loss program names Mary Ellen; ask about patients nearing goal weight and body-confidence needs,https://www.mariposamedspasf.com/general-6
Nuyu Med Spa,,,5056816657,info@nuyumedspanm.com,Albuquerque,NM,SKIN_TIGHTENING,Owner / clinic manager,Med spa contact page lists laser and wellness treatments; ask whether body services are planned,https://nuyumedspanm.com/contact/
Nursify Aesthetics & Wellness,,,5055007900,nursifyaesthetics@gmail.com,Albuquerque,NM,GLP1|MEDICAL_OVERSIGHT,NP / nurse founder,Nurse-led GLP-1 concierge care; referral opener for in-home patients asking about laxity and contouring,https://nursifyaesthetics.com/concierge-medical-spa-medical-weight-loss-albuquerque/
RoadRunner Wellness IV Med Spa,,,5052166914,,Albuquerque,NM,GLP1|MEDICAL_OVERSIGHT,NP / clinic lead,Medical weight-loss page lists semaglutide and tirzepatide; ask about add-on aesthetics after metabolic progress,https://www.roadrunnermedspa.com/medical-weight-loss
Western Dermatology Consultants,,,5058555503,,Albuquerque,NM,MORPHEUS8|BODY|CELLULITE|MEDICAL_OVERSIGHT,Practice manager / dermatologist,Morpheus8 plus spa fat and cellulite services; credible derm-led device comparison prospect,https://westerndermatology.com/albuquerque-spa-skin-treatments/morpheus8
Dermaesthetics,,,5754944468,,Las Cruces,NM,GLP1|MEDICAL_OVERSIGHT,Owner / clinic lead,Downtown Las Cruces med spa lists semaglutide wellness shots; ask about non-invasive body services,https://www.dermaestheticslascruces.com/
Aeris Med Spa,,,5054334043,Hello@aerismedical.info,Albuquerque,NM,GLP1|MEDICAL_OVERSIGHT|REVIEWS,Owner / clinic manager,Best-of-city boutique med spa with medical weight loss; use local reputation and launch differentiation angle,https://www.localservicenearyou.com/businesses/aeris-med-spa
Fountain of Youth LC,,,5758059166,youthfulbliss2@gmail.com,Las Cruces,NM,GLP1|BODY|MEDICAL_OVERSIGHT,Physician / clinic manager,Physician-led GLP-1 plus PHYSIQ body contouring; high-priority body-after-weight-loss prospect,https://www.fountainofyouthlascruces.com/
Mariposa Transformation Wellness Center & Med Spa,,,5052346432,mariposa-transformation@outlook.com,Albuquerque,NM,GLP1|MEDICAL_OVERSIGHT,Owner / clinic lead,Wellness center lists medical weight-loss management; ask whether aesthetics add-ons are in the growth plan,https://www.mariposa-transformation.com/contact-us
Mirage Wellness Center & Medspa,,,5054203737,info@miragewellness.com,Rio Rancho,NM,GLP1|BODY|MEDICAL_OVERSIGHT,Owner / clinic manager,Semaglutide and tirzepatide plus body-contouring mission; strong Rio Rancho prospect,https://miragewellnessnm.com/
Ortega Wellness,,,5052257040,info@ortegawellness.com,Rio Rancho,NM,GLP1|MEDICAL_OVERSIGHT,Owner / clinic lead,Semaglutide directory listing for Rio Rancho wellness clinic; ask about body-confidence referral gaps,https://semaglutidenearme.org/places/ortega-wellness/
Roswell Aesthetics & Wellness,,,5757552221,,Roswell,NM,COOLSCULPTING|BODY|MEDICAL_OVERSIGHT,Owner / clinic manager,Lists CoolSculpting and IV wellness; ask if they need a cellulite and skin-tightening complement,https://www.roswellaesthetics.com/
Aesthetic Foundry,Stefania,Rok,5752084508,,Roswell,NM,COOLSCULPTING|BODY,Owner / provider,CoolSculpting Elite is positioned as an exclusive regional offer; use non-cryo and texture gap opener,https://aestheticfoundry.com/about/
